population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.059684684762454074,0.5684719152662673,-0.45424248082545887
1,All Population,1,Deaths,14,Maldives,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,0.01152539708671832,0.41908377099222704,-0.29177219349847444
1,All Population,1,Deaths,14,Maldives,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,0.030437060718259325,0.1880778585714129,-0.11744214334440378
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.2947718550277645,-0.157775441577064,-0.4272959367774352
1,All Population,1,Deaths,45,Bulgaria,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-5.533124995086809e-06,0.05964584843778134,-0.05440382696177358
1,All Population,1,Deaths,45,Bulgaria,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,0.023330916178019953,0.21768709406129744,-0.13310927489746213
1,All Population,1,Deaths,45,Bulgaria,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,0.11274021231670527,0.38105899663740267,-0.12151087253370721
1,All Population,1,Deaths,45,Bulgaria,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,0.010375049796965805,0.14766193112383702,-0.11227303167325427
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,-0.3001272590208596,-0.18306092384633982,-0.40952733428587146
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.34519170460172466,-0.14735829038951997,-0.5104745802906248
1,All Population,1,Deaths,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.09119423930078462,0.3345561855658641,-0.3778248627537652
